ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,id
1/23/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/24/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/25/15,0,0,0,0,0,0,0,0,0,0,0,1440,1303,4
1/26/15,16837,12.18999958,12.18999958,0,4.510000229,2.160000086,5.519999981,0,55,55,249,1081,2298,4
1/27/15,15699,11.92000008,11.92000008,0,7.610000134,0.230000004,4.079999924,0,80,5,192,513,2301,4
1/28/15,16431,11.97999954,11.97999954,0,7.460000038,0.300000012,4.070000172,0,91,6,229,489,2361,4
1/29/15,25090,18.92000008,18.92000008,0,9,0.819999993,9.100000381,0,99,21,418,391,2944,4
1/30/15,16028,12.11999989,12.11999989,0,2.950000048,0.289999992,8.880000114,0,29,6,317,645,2388,4
1/31/15,17741,12.84000015,12.84000015,0,5.199999809,0.090000004,7.550000191,0,66,2,355,502,2501,4
2/1/15,25064,18.31999969,18.31999969,0,8.420000076,1.450000048,8.460000038,0,106,37,376,341,2886,4
2/2/15,17543,13.18000031,13.18000031,0,3.200000048,1.049999952,8.930000305,0,39,25,297,578,2453,4
2/3/15,17534,12.96000004,12.96000004,0,8.359999657,0.889999986,3.710000038,0,97,21,259,556,2511,4
2/4/15,22099,16.35000038,16.35000038,0,8.680000305,1.120000005,6.539999962,0,103,27,349,451,2755,4
2/5/15,21201,15.77000046,15.77000046,0,5.300000191,1.639999986,8.569999695,0,58,39,329,518,2667,4
2/6/15,19005,14.19999981,14.19999981,0,7.090000153,1,6.119999886,0,79,23,282,608,2559,4
2/7/15,18623,14.05000019,14.05000019,0,9.159999847,0.550000012,4.340000153,0,108,12,179,644,2473,4
2/8/15,21443,15.71000004,15.71000004,0,9.130000114,0.270000011,6.309999943,0,115,6,309,511,2709,4
2/9/15,17529,13.26000023,13.26000023,0,7.670000076,0.340000004,5.239999771,0,91,7,222,596,2450,4
2/10/15,16129,12.78999996,12.78999996,0,3.569999933,0.779999971,8.43999958,0,29,17,297,520,2421,4
2/11/15,18367,13.93000031,13.93000031,0,4.659999847,0.310000002,8.949999809,0,56,7,343,540,2581,4
2/12/15,19487,14.27999973,14.27999973,0,6.989999771,0.74000001,6.559999943,0,90,17,274,513,2549,4
2/13/15,16339,12.59000015,12.59000015,0,3.24000001,0.889999986,8.460000038,0,28,19,314,648,2426,4
2/14/15,21541,16.12000084,16.12000084,0,2.410000086,3.930000067,9.779999733,0,19,98,408,504,2740,4
2/15/15,20363,15.67000008,15.67000008,0,4.489999771,5.46999979,5.710000038,0,38,136,280,497,2653,4
2/16/15,17163,14.43999958,14.43999958,0,5.78000021,0.25999999,8.399999619,0,47,6,236,541,2488,4
2/17/15,17374,14.93999958,14.93999958,0,6.769999981,0.25,7.550000191,0,49,6,188,730,2464,4
2/18/15,18367,15.36999989,15.36999989,0,6.619999886,0.49000001,8.25,0,50,10,280,536,2595,4
2/19/15,23555,18.36000061,18.36000061,0,6.010000229,2.980000019,9.369999886,0,49,74,378,404,2846,4
2/20/15,16153,12.39999962,12.39999962,0,1.730000019,0.879999995,9.529999733,0,17,19,318,577,2403,4
2/21/15,16199,11.78999996,11.78999996,0,0.150000006,5.599999905,6.050000191,0,1,138,306,405,2419,4
2/22/15,22305,17.62000084,17.62000084,0,6.210000038,1.350000024,10.05000019,0,55,33,444,413,2875,4
2/23/15,18057,13.68999958,13.68999958,0,4.849999905,1.149999976,7.690000057,0,54,28,348,635,2572,4
2/24/15,17767,13.23999977,13.23999977,0,1.169999957,1.620000005,10.44999981,0,11,42,463,498,2589,4
2/25/15,17310,13.84000015,13.84000015,0,6.369999886,0.639999986,6.829999924,0,57,14,240,580,2478,4
2/26/15,15652,12.61999989,12.61999989,0,1.840000033,0.029999999,10.75,0,13,1,276,599,2376,4
2/27/15,17112,12.89000034,12.89000034,0,6.380000114,1,5.510000229,0,71,23,191,579,2376,4
2/28/15,15329,11.31000042,11.31000042,0,1.039999962,1.570000052,8.699999809,0,8,42,408,586,2425,4
3/1/15,17477,12.71000004,12.71000004,0,0.200000003,2.309999943,10.19999981,0,3,59,493,428,2584,4
3/2/15,17140,12.56000042,12.56000042,0,5.78000021,0.939999998,5.829999924,0,70,20,208,619,2388,4
3/3/15,18088,13.89999962,13.89999962,0,5.420000076,1.24000001,7.239999771,0,56,28,236,638,2470,4
3/4/15,20122,14.77999973,14.77999973,0,7.739999771,0.400000006,6.639999866,0,100,9,302,495,2639,4
3/5/15,15739,11.64000034,11.64000034,0,0.07,2.880000114,8.670000076,0,1,72,372,366,2423,4
3/6/15,15145,11.11999989,11.11999989,0,0.07,3.019999981,8.020000458,0,1,57,314,693,2353,4
3/7/15,16075,11.67000008,11.67000008,0,0,1.929999948,9.739999771,0,0,48,436,502,2463,4
3/8/15,17700,12.86999989,12.86999989,0,6.849999905,1.389999986,4.639999866,0,84,30,187,622,2416,4
3/9/15,36110,26.13999939,26.13999939,0,19.39999962,3.50999999,3.24000001,0,241,71,160,537,3364,4
3/10/15,17030,12.39000034,12.39000034,0,2.829999924,3.269999981,6.28000021,0,37,69,275,608,2430,4
3/11/15,21258,15.52999973,15.52999973,0,7.119999886,1.769999981,6.639999866,0,85,36,254,590,2629,4
3/12/15,16739,12.19999981,12.19999981,0,6.210000038,0.219999999,5.769999981,0,77,5,280,488,2436,4
3/13/15,20031,14.68999958,14.68999958,0,2.599999905,1.950000048,10.14000034,0,28,49,432,386,2659,4
3/14/15,19623,14.84000015,14.84000015,0,2.599999905,2.970000029,9.229999542,0,23,78,411,372,2672,4
3/15/15,25269,18.40999985,18.40999985,0,7.090000153,2.230000019,9.090000153,0,91,59,387,454,2919,4
3/16/15,23438,17.04999924,17.04999924,0,7.599999905,1.710000038,7.739999771,0,93,40,358,449,2818,4
3/17/15,22324,16.19000053,16.19000053,0,8.920000076,0.360000014,6.909999847,0,114,7,323,540,2754,4
3/18/15,15891,11.52999973,11.52999973,0,5.090000153,0.209999993,6.239999771,0,64,5,325,524,2426,4
3/19/15,23708,17.15999985,17.15999985,0,7.150000095,1.029999971,8.989999771,0,86,25,413,405,2841,4
3/20/15,16061,12.18999958,12.18999958,0,4.820000172,2.190000057,5.179999828,0,49,48,233,526,2376,4
3/21/15,17990,13.15999985,13.15999985,0,0.699999988,2.150000095,10.31000042,0,6,55,430,450,2535,4
3/22/15,23059,16.71999931,16.71999931,0,3.160000086,3.190000057,10.38000011,0,40,78,479,375,2837,4
3/23/15,23578,18.29999924,18.29999924,0,11.51000023,0.769999981,6.019999981,0,110,16,267,447,2821,4
3/24/15,16058,11.63000011,11.63000011,0,8,0.119999997,3.50999999,0,105,2,195,602,2346,4
3/25/15,18521,13.40999985,13.40999985,0,5.760000229,0.870000005,6.690000057,0,76,20,347,395,2582,4
3/26/15,18520,13.73999977,13.73999977,0,1.75,3.019999981,8.979999542,0,21,70,397,488,2581,4
3/27/15,20155,14.97999954,14.97999954,0,7.78000021,1.080000043,6.119999886,0,92,23,274,525,2609,4
3/28/15,15329,11.10000038,11.10000038,0,0,2.150000095,8.949999809,0,0,57,428,525,2421,4
3/29/15,17959,13.02999973,13.02999973,0,6.550000191,0.370000005,6.099999905,0,83,8,354,382,2549,4
3/30/15,26397,20.20000076,20.20000076,0,11.72999954,0.639999986,7.829999924,0,118,14,376,535,3033,4
3/31/15,20186,14.73999977,14.73999977,0,8.899999619,0.560000002,5.28000021,0,116,12,214,600,2553,4
4/1/15,20077,14.53999996,14.53999996,0,7.809999943,1.320000052,5.409999847,0,103,29,270,473,2590,4
4/2/15,20355,14.86999989,14.86999989,0,4.269999981,0.649999976,9.960000038,0,57,17,441,440,2690,4
4/3/15,20239,15.39999962,15.39999962,0,8.340000153,0.709999979,6.349999905,0,98,16,242,557,2597,4
4/4/15,20280,14.68000031,14.68000031,0,3.339999914,2.039999962,9.31000042,0,39,52,453,320,2699,4
4/5/15,16287,11.88000011,11.88000011,0,0.589999974,1.940000057,9.359999657,0,7,48,407,534,2448,4
4/6/15,22533,16.30999947,16.30999947,0,4.639999866,3.549999952,8.130000114,0,59,93,401,342,2796,4
4/7/15,20267,14.92000008,14.92000008,0,6.03000021,1.409999967,7.480000019,0,72,29,305,564,2617,4
4/8/15,21838,16.07999992,16.07999992,0,8.529999733,1.090000033,6.460000038,0,103,25,295,514,2703,4
4/9/15,19543,14.67000008,14.67000008,0,2.660000086,2.950000048,9.050000191,0,26,75,414,389,2662,4
4/10/15,25079,18.29999924,18.29999924,0,6.289999962,3.25999999,8.739999771,0,83,80,402,354,2915,4
4/11/15,22266,16.12000084,16.12000084,0,3.450000048,3.880000114,8.789999962,0,45,101,447,245,2807,4
4/12/15,20199,14.68000031,14.68000031,0,0.5,4.090000153,10.09000015,0,7,103,423,394,2644,4
4/13/15,22276,16.12999916,16.12999916,0,6.5,1.440000057,8.18999958,0,84,36,381,499,2755,4
4/14/15,16345,12.22000027,12.22000027,0,5.03000021,0.389999986,6.800000191,0,58,9,262,515,2388,4
4/15/15,19115,14.22999954,14.22999954,0,7.130000114,1.190000057,5.909999847,0,84,30,326,429,2571,4
4/16/15,18696,13.53999996,13.53999996,0,4.230000019,1.059999943,8.239999771,0,55,26,392,454,2538,4
4/17/15,19347,14.01000023,14.01000023,0,4.21999979,1.029999971,8.760000229,0,57,25,440,391,2611,4
4/18/15,16646,12.18000031,12.18000031,0,1.899999976,1.75,8.529999733,0,25,44,356,450,2409,4
4/19/15,16380,11.85999966,11.85999966,0,0,1.539999962,10.31999969,0,0,43,489,371,2470,4
4/20/15,15660,12.52000046,12.52000046,0,6.320000172,0.310000002,5.889999866,0,55,6,263,714,2357,4
4/21/15,25543,18.62999916,18.62999916,0,12.25,1.620000005,4.760000229,0,154,37,211,548,2793,4
4/22/15,17203,12.47999954,12.47999954,0,5.110000134,0.349999994,7.010000229,0,66,8,334,567,2460,4
4/23/15,19392,14.21000004,14.21000004,0,1.889999986,1.519999981,10.80000019,0,21,40,507,356,2641,4
4/24/15,15080,11.25,11.25,0,0.589999974,0.200000003,10.47000027,0,6,5,414,504,2361,4
4/25/15,16034,11.60999966,11.60999966,0,0,1,10.60999966,0,0,28,506,359,2471,4
4/26/15,15416,11.27999973,11.27999973,0,0.389999986,1.789999962,9.079999924,0,3,42,400,667,2378,4
4/27/15,28137,20.37000084,20.37000084,0,4.21999979,3.049999952,13.09000015,0,54,74,636,346,3177,4
4/28/15,16361,11.85000038,11.85000038,0,0.180000007,0.870000005,10.80000019,0,2,21,479,427,2447,4
4/29/15,19010,13.78999996,13.78999996,0,5.690000057,1.830000043,6.269999981,0,75,40,312,386,2534,4
4/30/15,17060,12.93999958,12.93999958,0,2.00999999,0.850000024,10.06999969,0,16,20,473,498,2546,4
5/1/15,15584,11.31000042,11.31000042,0,0.150000006,1.230000019,9.930000305,0,2,30,450,452,2406,4
5/2/15,15874,11.52000046,11.52000046,0,1.330000043,2.180000067,8.010000229,0,17,57,322,542,2347,4
5/3/15,19488,14.10999966,14.10999966,0,2.019999981,4.260000229,7.829999924,0,27,108,390,474,2603,4
5/4/15,21364,15.60999966,15.60999966,0,3.269999981,3.519999981,8.819999695,0,43,84,427,337,2714,4
5/5/15,20675,15.85000038,15.85000038,0,7.699999809,0.870000005,7.28000021,0,87,18,256,637,2600,4
5/6/15,15243,11.03999996,11.03999996,0,5.610000134,0.870000005,4.550000191,0,72,18,175,610,2235,4
5/7/15,22030,15.97999954,15.97999954,0,3.089999914,4.179999828,8.699999809,0,40,102,415,343,2727,4
5/8/15,23468,17.29000092,17.29000092,0,7.650000095,1.539999962,8.109999657,0,92,36,407,450,2826,4
5/9/15,18363,13.28999996,13.28999996,0,0.430000007,3.849999905,9.010000229,0,6,101,449,372,2573,4
5/10/15,22320,16.21999931,16.21999931,0,0.649999976,5.730000019,9.840000153,0,9,141,464,342,2769,4
5/11/15,18893,13.86999989,13.86999989,0,1.059999943,1.850000024,10.96000004,0,14,50,496,314,2633,4
5/12/15,20338,14.82999992,14.82999992,0,7.150000095,1.029999971,6.650000095,0,91,22,366,420,2650,4
5/13/15,22146,16.03000069,16.03000069,0,4.119999886,1.960000038,9.930000305,0,53,51,502,357,2803,4
5/14/15,25044,18.12999916,18.12999916,0,5.5,3.319999933,9.31000042,0,75,80,482,383,2948,4
5/15/15,20443,14.93999958,14.93999958,0,6.550000191,1.610000014,6.78000021,0,84,34,333,476,2629,4
5/16/15,15593,11.28999996,11.28999996,0,3.289999962,0.850000024,7.150000095,0,44,18,319,568,2355,4
5/17/15,17379,12.57999992,12.57999992,0,3.829999924,1.049999952,7.699999809,0,50,21,269,712,2390,4
5/18/15,21249,15.38000011,15.38000011,0,7.260000229,1.340000033,6.78000021,0,96,29,326,502,2661,4
5/19/15,20680,14.97000027,14.97000027,0,5.119999886,2.49000001,7.340000153,0,69,53,309,544,2626,4
5/20/15,19604,14.18999958,14.18999958,0,4.46999979,1.789999962,7.940000057,0,60,38,392,567,2664,4
5/21/15,19974,14.46000004,14.46000004,0,0.079999998,4.71999979,9.659999847,0,1,123,475,282,2702,4
5/22/15,24441,17.70000076,17.70000076,0,4.639999866,1.980000019,11.07999992,0,59,51,507,306,2935,4
5/23/15,20205,14.63000011,14.63000011,0,0,3.170000076,11.46000004,0,0,80,555,287,2760,4
5/24/15,26057,18.87000084,18.87000084,0,5.369999886,2.380000114,11.10999966,0,71,61,517,307,3038,4
5/25/15,16807,12.17000008,12.17000008,0,6.610000134,1.389999986,4.170000076,0,90,29,261,505,2422,4
5/26/15,26600,19.28000069,19.28000069,0,7.599999905,2.390000105,9.210000038,0,98,58,506,288,3068,4
5/27/15,25368,18.37000084,18.37000084,0,7.619999886,2.720000029,8.029999733,0,99,69,430,403,2944,4
5/28/15,20208,14.63000011,14.63000011,0,3.269999981,2.470000029,8.890000343,0,43,59,466,287,2699,4
5/29/15,20238,14.68000031,14.68000031,0,1.629999995,3.809999943,9.149999619,0,19,93,470,335,2767,4
5/30/15,19484,14.10999966,14.10999966,0,4.059999943,1.879999995,8.170000076,0,54,45,392,419,2611,4
5/31/15,20438,14.80000019,14.80000019,0,2.980000019,1.460000038,10.35999966,0,39,37,505,315,2688,4
6/1/15,18014,13.10000038,13.10000038,0,6.070000172,0.970000029,6.059999943,0,78,18,303,568,2483,4
6/2/15,18578,13.47999954,13.47999954,0,4.949999809,1.75999999,6.760000229,0,65,44,349,472,2557,4
6/3/15,17995,13.02999973,13.02999973,0,7.590000153,0.699999988,4.679999828,0,96,16,251,578,2462,4
6/4/15,17204,12.56000042,12.56000042,0,5.429999828,1.370000005,5.760000229,0,64,33,266,499,2421,4
6/5/15,21756,15.75,15.75,0,7.019999981,1.24000001,7.400000095,0,91,29,387,419,2727,4
6/6/15,18513,13.39999962,13.39999962,0,1.080000043,1.879999995,10.44999981,0,14,46,524,380,2645,4
6/7/15,25571,18.51000023,18.51000023,0,4.440000057,2.980000019,11.09000015,0,57,73,536,289,3005,4
6/8/15,18666,13.51000023,13.51000023,0,5.070000172,0.699999988,7.75,0,65,14,371,371,2559,4
6/9/15,18501,13.39000034,13.39000034,0,5.21999979,0.49000001,7.690000057,0,71,10,343,457,2518,4
6/10/15,15088,11.43999958,11.43999958,0,3.49000001,1.5,6.380000114,0,33,36,258,589,2330,4
6/11/15,22832,16.53000069,16.53000069,0,7.21999979,1.399999976,7.909999847,0,94,32,431,390,2836,4
6/12/15,25229,18.27000046,18.27000046,0,2.680000067,1.620000005,13.96000004,0,34,31,408,528,2432,4
6/13/15,20547,14.88000011,14.88000011,0,2.190000057,3.059999943,9.630000114,0,30,76,477,346,2698,4
6/14/15,19984,14.47000027,14.47000027,0,4.070000172,2.130000114,8.229999542,0,54,54,401,400,2622,4
6/15/15,18716,13.55000019,13.55000019,0,6.610000134,1.070000052,5.880000114,0,89,22,282,543,2501,4
6/16/15,16984,12.30000019,12.30000019,0,6.309999943,1.100000024,4.880000114,0,83,24,222,585,2387,4
6/17/15,18841,13.64000034,13.64000034,0,4.010000229,1.299999952,8.340000153,0,52,33,417,408,2590,4
6/18/15,20539,14.86999989,14.86999989,0,5.289999962,0.5,8.989999771,0,69,12,400,433,2654,4
6/19/15,20446,14.80000019,14.80000019,0,3.50999999,2.49000001,8.81000042,0,46,63,482,340,2754,4
6/20/15,15338,11.10000038,11.10000038,0,0.449999988,1.620000005,9.029999733,0,6,42,444,475,2446,4
6/21/15,19372,14.02999973,14.02999973,0,4.190000057,1.350000024,8.479999542,0,56,33,393,443,2622,4
6/22/15,18458,13.35999966,13.35999966,0,3.769999981,2.339999914,7.260000229,0,51,54,388,372,2579,4
6/23/15,21167,15.31999969,15.31999969,0,9.779999733,0.449999988,5.090000153,0,128,8,226,621,2605,4
6/24/15,16438,11.89999962,11.89999962,0,5.909999847,0.800000012,5.190000057,0,78,16,307,565,2438,4
6/25/15,18767,13.59000015,13.59000015,0,8.909999847,0.560000002,4.119999886,0,115,13,215,503,2481,4
6/26/15,22816,16.52000046,16.52000046,0,7.579999924,1.419999957,7.519999981,0,99,32,370,448,2772,4
