ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,id
10/13/13,2557,1.799999952,1.799999952,0,0,0,1.769999981,0,10,20,44,1366,1787,13
10/14/13,6505,4.519999981,4.519999981,0,0,0,4.510000229,0,15,78,94,1253,1964,13
10/15/13,12959,9,9,0,4.699999809,0.090000004,4.190000057,0,65,93,102,1180,2337,13
10/16/13,15826,11.06999969,11.06999969,0,6.880000114,0.330000013,3.75999999,0,97,79,90,1174,2485,13
10/17/13,7980,5.599999905,5.599999905,0,0.689999998,0.050000001,4.78000021,0,30,74,73,1263,2008,13
10/18/13,6397,4.46999979,4.46999979,0,0.059999999,0.170000002,4.199999809,0,12,77,107,1244,1959,13
10/19/13,10557,7.360000134,7.360000134,0,1.129999995,0.389999986,5.820000172,0,46,76,117,1201,2207,13
10/20/13,7482,5.199999809,5.199999809,0,0.07,0.330000013,4.789999962,0,12,102,122,1204,2043,13
10/21/13,11320,7.840000153,7.840000153,0,4.340000153,0.050000001,3.460000038,0,61,70,97,1212,2232,13
10/22/13,11120,8.069999695,8.069999695,0,4.599999905,0.340000004,3.119999886,0,59,69,83,1229,2228,13
10/23/13,13125,9.130000114,9.130000114,0,4.829999924,0.569999993,3.700000048,0,78,70,76,1216,2306,13
10/24/13,4932,3.420000076,3.420000076,0,0,0,3.420000076,0,14,58,74,1294,1862,13
10/25/13,6934,4.809999943,4.809999943,0,0,0,4.809999943,0,15,88,101,1236,2005,13
10/26/13,9150,6.380000114,6.380000114,0,0,0.379999995,5.980000019,0,17,116,140,1167,2151,13
10/27/13,7614,5.28000021,5.28000021,0,0.200000003,0.409999996,4.659999847,0,16,103,108,1213,2043,13
10/28/13,13611,9.5,9.5,0,5.039999962,0.370000005,4.050000191,0,75,78,120,1167,2392,13
10/29/13,5320,3.690000057,3.690000057,0,0,0,3.690000057,0,8,68,108,1256,1910,13
10/30/13,11650,8.079999924,8.079999924,0,4.389999866,0.289999992,3.390000105,0,68,51,96,1225,2233,13
10/31/13,9809,6.820000172,6.820000172,0,0.550000012,2,4.25,0,25,118,89,1208,2133,13
